fold_id,role,horizon_days,axis,statistical_status,availability_status,evaluable,issue_count,magnitude_bin,issue_target_pair_count,unique_event_count,episode_sampling_status,touched_episode_count,anchor_target_count,subsequent_target_event_count,episode_balanced_total_weight
C_DEV_2015_2019,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m4_plus,19591,475,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m5_6,2750,70,formal_fixed_anchor_episode_population,63,63,7,63.0
C_DEV_2015_2019,development,365,operational_weekly,descriptive_operational_nonindependent,available,True,209,m6_plus,509,11,formal_fixed_anchor_episode_population,11,11,0,11.0
C_DEV_2015_2019,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m4_plus,377,377,not_applicable_training_diagnostic_bin,,,,
C_DEV_2015_2019,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m5_6,55,55,formal_fixed_anchor_episode_population,51,51,4,51.0
C_DEV_2015_2019,development,365,primary_exposure,primary_independent_exposure_axis,available,True,4,m6_plus,7,7,formal_fixed_anchor_episode_population,7,7,0,7.0
C_HOLDOUT_2020_2022,least_exposed_holdout,7,operational_weekly,descriptive_operational_nonindependent,available,True,156,m4_plus,348,348,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,7,operational_weekly,descriptive_operational_nonindependent,available,True,156,m5_6,54,54,formal_fixed_anchor_episode_population,46,46,8,46.00000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,7,operational_weekly,descriptive_operational_nonindependent,available,True,156,m6_plus,12,12,formal_fixed_anchor_episode_population,12,12,0,12.0
C_HOLDOUT_2020_2022,least_exposed_holdout,7,primary_exposure,primary_independent_exposure_axis,available,True,26,m4_plus,70,70,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,7,primary_exposure,primary_independent_exposure_axis,available,True,26,m5_6,10,10,formal_fixed_anchor_episode_population,8,8,2,7.999999999999999
C_HOLDOUT_2020_2022,least_exposed_holdout,7,primary_exposure,primary_independent_exposure_axis,available,True,26,m6_plus,2,2,formal_fixed_anchor_episode_population,2,2,0,2.0
C_HOLDOUT_2020_2022,least_exposed_holdout,30,operational_weekly,descriptive_operational_nonindependent,available,True,153,m4_plus,1474,348,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,30,operational_weekly,descriptive_operational_nonindependent,available,True,153,m5_6,228,54,formal_fixed_anchor_episode_population,46,46,8,46.00000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,30,operational_weekly,descriptive_operational_nonindependent,available,True,153,m6_plus,53,12,formal_fixed_anchor_episode_population,12,12,0,12.0
C_HOLDOUT_2020_2022,least_exposed_holdout,30,primary_exposure,primary_independent_exposure_axis,available,True,17,m4_plus,189,189,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,30,primary_exposure,primary_independent_exposure_axis,available,True,17,m5_6,36,36,formal_fixed_anchor_episode_population,31,30,6,30.499999999999996
C_HOLDOUT_2020_2022,least_exposed_holdout,30,primary_exposure,primary_independent_exposure_axis,available,True,17,m6_plus,6,6,formal_fixed_anchor_episode_population,6,6,0,6.0
C_HOLDOUT_2020_2022,least_exposed_holdout,90,operational_weekly,descriptive_operational_nonindependent,available,True,144,m4_plus,4058,348,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,90,operational_weekly,descriptive_operational_nonindependent,available,True,144,m5_6,595,54,formal_fixed_anchor_episode_population,46,46,8,46.00000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,90,operational_weekly,descriptive_operational_nonindependent,available,True,144,m6_plus,145,12,formal_fixed_anchor_episode_population,12,12,0,12.0
C_HOLDOUT_2020_2022,least_exposed_holdout,90,primary_exposure,primary_independent_exposure_axis,available,True,8,m4_plus,241,241,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,90,primary_exposure,primary_independent_exposure_axis,available,True,8,m5_6,38,38,formal_fixed_anchor_episode_population,32,32,6,31.999999999999996
C_HOLDOUT_2020_2022,least_exposed_holdout,90,primary_exposure,primary_independent_exposure_axis,available,True,8,m6_plus,8,8,formal_fixed_anchor_episode_population,8,8,0,8.0
C_HOLDOUT_2020_2022,least_exposed_holdout,180,operational_weekly,descriptive_operational_nonindependent,available,True,131,m4_plus,7467,347,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,180,operational_weekly,descriptive_operational_nonindependent,available,True,131,m5_6,1023,54,formal_fixed_anchor_episode_population,46,46,8,46.00000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,180,operational_weekly,descriptive_operational_nonindependent,available,True,131,m6_plus,279,12,formal_fixed_anchor_episode_population,12,12,0,12.0
C_HOLDOUT_2020_2022,least_exposed_holdout,180,primary_exposure,primary_independent_exposure_axis,available,True,5,m4_plus,273,273,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,180,primary_exposure,primary_independent_exposure_axis,available,True,5,m5_6,41,41,formal_fixed_anchor_episode_population,35,35,6,34.50000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,180,primary_exposure,primary_independent_exposure_axis,available,True,5,m6_plus,9,9,formal_fixed_anchor_episode_population,9,9,0,9.0
C_HOLDOUT_2020_2022,least_exposed_holdout,365,operational_weekly,descriptive_operational_nonindependent,available,True,105,m4_plus,12284,348,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,365,operational_weekly,descriptive_operational_nonindependent,available,True,105,m5_6,1595,54,formal_fixed_anchor_episode_population,46,46,8,46.00000000000001
C_HOLDOUT_2020_2022,least_exposed_holdout,365,operational_weekly,descriptive_operational_nonindependent,available,True,105,m6_plus,436,12,formal_fixed_anchor_episode_population,12,12,0,12.0
C_HOLDOUT_2020_2022,least_exposed_holdout,365,primary_exposure,primary_independent_exposure_axis,available,True,2,m4_plus,252,252,not_applicable_training_diagnostic_bin,,,,
C_HOLDOUT_2020_2022,least_exposed_holdout,365,primary_exposure,primary_independent_exposure_axis,available,True,2,m5_6,36,36,formal_fixed_anchor_episode_population,30,30,6,29.999999999999996
C_HOLDOUT_2020_2022,least_exposed_holdout,365,primary_exposure,primary_independent_exposure_axis,available,True,2,m6_plus,8,8,formal_fixed_anchor_episode_population,8,8,0,8.0
C_AUDIT_2023_2026,stability_audit,7,operational_weekly,descriptive_operational_nonindependent,available,True,183,m4_plus,403,403,not_applicable_training_diagnostic_bin,,,,
C_AUDIT_2023_2026,stability_audit,7,operational_weekly,descriptive_operational_nonindependent,available,True,183,m5_6,57,57,formal_fixed_anchor_episode_population,39,39,18,39.00000000000001
C_AUDIT_2023_2026,stability_audit,7,operational_weekly,descriptive_operational_nonindependent,available,True,183,m6_plus,7,7,formal_fixed_anchor_episode_population,6,6,1,6.0
C_AUDIT_2023_2026,stability_audit,7,primary_exposure,primary_independent_exposure_axis,available,True,31,m4_plus,80,80,not_applicable_training_diagnostic_bin,,,,
C_AUDIT_2023_2026,stability_audit,7,primary_exposure,primary_independent_exposure_axis,available,True,31,m5_6,14,14,formal_fixed_anchor_episode_population,10,10,4,8.625
C_AUDIT_2023_2026,stability_audit,7,primary_exposure,primary_independent_exposure_axis,available,True,31,m6_plus,1,1,formal_fixed_anchor_episode_population,1,1,0,1.0
C_AUDIT_2023_2026,stability_audit,30,operational_weekly,descriptive_operational_nonindependent,available,True,179,m4_plus,1665,396,not_applicable_training_diagnostic_bin,,,,
C_AUDIT_2023_2026,stability_audit,30,operational_weekly,descriptive_operational_nonindependent,available,True,179,m5_6,221,55,formal_fixed_anchor_episode_population,39,39,16,38.50000000000001
C_AUDIT_2023_2026,stability_audit,30,operational_weekly,descriptive_operational_nonindependent,available,True,179,m6_plus,27,7,formal_fixed_anchor_episode_population,6,6,1,6.0
C_AUDIT_2023_2026,stability_audit,30,primary_exposure,primary_independent_exposure_axis,available,True,20,m4_plus,206,206,not_applicable_training_diagnostic_bin,,,,
C_AUDIT_2023_2026,stability_audit,30,primary_exposure,primary_independent_exposure_axis,available,True,20,m5_6,29,29,formal_fixed_anchor_episode_population,20,20,9,19.999999999999996
C_AUDIT_2023_2026,stability_audit,30,primary_exposure,primary_independent_exposure_axis,available,True,20,m6_plus,2,2,formal_fixed_anchor_episode_population,2,2,0,2.0
C_AUDIT_2023_2026,stability_audit,90,operational_weekly,descriptive_operational_nonindependent,available,True,171,m4_plus,4770,401,not_applicable_training_diagnostic_bin,,,,
C_AUDIT_2023_2026,stability_audit,90,operational_weekly,descriptive_operational_nonindependent,available,True,171,m5_6,622,55,formal_fixed_anchor_episode_population,39,39,16,38.50000000000001
C_AUDIT_2023_2026,stability_audit,90,operational_weekly,descriptive_operational_nonindependent,available,True,171,m6_plus,64,7,formal_fixed_anchor_episode_population,6,6,1,6.0
